User,Repo,Size (KB),Number of Contributors
dana-i2cat,opennaas-gim-apc-pdu-driver,145,2
dana-i2cat,opennaas-gim-apc-pdu-driver-OLD,109,1
danapsimer,geohash-java,588,4
danapsimer,httpbuilder,845,1
danapsimer,prefetch-experiment-client,104,1
Danesh,dropbox-android-sdk,4359,1
danielbchapman,groups,175,1
danielbchapman,Utilities,169,1
danielgwood,atan,3663,1
danieloleary,box-connector,2710,2
DanielRedOak,logstash-logback-encoder,373,14
Danno040,beanstalk-client,101,1
danschultz,git-demo,96,1
danveloper,grails-maven,335,7
darylyu,couchdb-lucene,3855,14
datasalt,datasalt-utils,722,4
datasalt,pangool-benchmark,8316,2
datasalt,pangool-flow,172,1
davespanton,Nutbar,939,1
davespanton,RobolectricSample,3527,6
DavideD,arquillian-extension-byteman,169,1
DavideD,cypher-dsl,652,12
DavideD,embedded-redis,3143,4
DavideD,jandex,289,7
DavideD,java-rest-binding,709,12
DavideD,MongoDB-OGM,1472,1
davideuler,DoubleArrayTrie,907,0
davidjohansson,Metrics-Plugin,153,3
davidkarlsen,Commons-Transaction-Spring-Integration,642,1
davidmc24,embedmongo-maven-plugin,125,3
davidmc24,grails-maven,345,8
davidmsibley,mybatis-memory-leak,144,0
davidmsibley,tomcat-utilities,134,1
davidp3,smbridge,140,1
davidp3,smsolver,204,1
dCache,xrootd4j-backport,204,1
ddierickx,mock-http-server,261,5
debarshri,bigmap,340,1
debarshri,finmath-lib,9167,3
debarshri,nifty-pigunit,294,1
debarshri,spark,1477,33
dehora,dropwizard-guice,95,1
dehora,intercom-java,139,2
demon,elasticsearch-statsd-plugin,189,4
demon,j2bugzilla,156,1
denisa,arquillian-phantom-driver,96,2
denisa,code_eval,184,1
denisa,redis-maven-plugin,456,2
denisazevedo,SpringMVCApp,152,1
denisazevedo,Training-Rest,140,1
DenniJensen,LeapMotionExpertise,644,0
devaraj,spark,984,8
developez,scribe-java,1006,37
devinceble,Resty,1318,7
dfcoffin,OpenESPI-Common-java,3144,6
dfcoffin,OpenESPI-DataCustodian-java,7204,6
dfcoffin,OpenESPI-Greenbutton-java,686,2
dfcoffin,simple-web-app,238,8
DFFlanders,oztrack,1677,1
dhavaln,spring-rest-boilerplate,266,2
diegofrsilva,build-number-maven-plugin-with-tag,192,1
digitalmediacenter,build-pipeline-plugin,1475,33
dinic,stream-lib,1426,8
dipankar-das,scribe-java,6601,53
Diskmaster,Multiverse-Core,11726,13
dlwhitehurst,accountant,464,0
dlwhitehurst,blackboard,1211,1
DM2E,dm2e-oai,608,1
DM2E,dm2e-ontologies,3052,5
DM2E,dm2e-rapidminer,116,1
DM2E,dm2e-silk,252,3
DM2E,dm2e-spinval,136,0
DM2E,dm2e-task,324,2
DM2E,dm2e-ws,7120,5
DM2E,grafeo,3148,3
dmlloyd,httpserver,124,1
dmlloyd,jandex,433,11
dmlloyd,jboss-classfilewriter,269,1
dmlloyd,jboss-dmr,397,4
dmlloyd,jboss-ejb-client,2430,18
dmlloyd,jboss-invocation,395,7
dofun12,encontre-telefone,116,0
dofun12,groovesquid,717,1
dofun12,pingToChart,408,1
dohzya,java-kit,543,9
Doodle3D,processing-http,157,2
dopuskh3,gerrit-events,732,24
dopuskh3,Jenkins-repo-plugin,84,1
dovchar,sonar-objective-c,240,1
dowens,fitnesse-ldap-authenticator,85,1
dozeo,Java-WebSocket,2268,14
d-plaindoux,suitcase,729,1
Dramak,Physics-Test,120,1
drayanaindra,elasticsearch,144,118
drbild,c2dm4j,282,3
drivo,ColorPatternRecognition,3940,1
DrSimonTucker,BloggingEngine,120,0
DrSimonTucker,ElectroView,188,0
DrSimonTucker,EverToDo,92,0
DrSimonTucker,FileSystemSpider,100,0
DrSimonTucker,maptwitview,6472,1
DrSimonTucker,Taskulator,96,0
DrSimonTucker,Twitter,668,0
drspeedo,Web-Karma-Public,7906,1
drwelden,akka-amqp-proxies,176,3
drwelden,nunit-plugin,333,2
dstreev,hdp-data-gen,193,2
dstreev,PigStandardParserUtils,112,1
dsu-igeek,MapDB,3049,4
dswarm,dswarm-gdm-java,165,4
dswarm,dswarm-graph-neo4j,1768,5
dswarm,dswarm-xsd2jsonschema,60,3
dswarm,siphash-java,114,3
du5l5ljason,worldedit,6868,46
duck1123,abdera-activitystreams,128,1
duck1123,java-openxrd,258,2
dukeboard,basic-maven-resolver,660,3
dukeboard,gressil,125,1
dukeboard,jfilter,252,2
dukeboard,kevoree-accesscontrol,136,2
Dukobpa3,adt-maven-plugin,624,3
Dukobpa3,haxemojos,588,4
duneding,SearchEngine,216,1
dunnololda,conn,129,1
dusdanig,java-iban,156,2
dvberkel,Base64Kata,188,1
dynastymasra,JavaLearning,128,1
DziNeIT,dzlib,660,1
DziNeIT,jlibargs,37,1
e3c,raven-java,1695,7
eark-project,denormalize-db,2124,2
eark-project,dm-etl,360,3
eark-project,dm-hdfs-storage,89,3
eark-project,dm-hdfs-storage-client,244,3
ebensing,archon2,236,1
ebensing,ArchonData,132,1
ebridges,remote-client,172,2
edhana,EnsaioJavaSecurityApi,128,1
edhana,laptimer-socket-server,96,1
edina,Geo-eFramework-Soils-Demonstrator,60,1
egv,msgpack-java,2258,18
eHarmonypublic,jenkins-ansicolor-plugin,98,1
eHarmonypublic,xcode-hudson-plugin,117,1
ehoogland,hellogitworld,205,3
eishub,massim,45484,3
eishub,TrafficSim,6988,1
elance,pb-java,176,2
elance,workplace-jenkins-plugin,215,1
eliasah,ElasticSearchJavaAPITest,128,1
eliasah,spring-data-elasticsearch,5739,14
ellongrey,unity3d-plugin,218,3
emmett9001,java-parsely,609,1
enanomapper,nanojava,397,2
enanomapper,nmdataparser,6911,3
enanomapper,ontoTest,29,1
enanomapper,slimmer,199,5
enebo,dynjs,8374,24
enebo,MapDB,8958,11
enpboss,acra,6169,18
enqae,trac-api,204,1
e-parliament,nsesa-diff,812,1
e-parliament,nsesa-editor,5090,3
e-parliament,nsesa-editor-an,10676,2
epu,elasticsearch,124,98
epu,htmlpublisher-plugin,96,7
ePublishing,rubymetrics-plugin,321,6
eResearchSA,simple-swift,216,1
ericdwhite,mustache.java-spring-webmvc,238,3
ericdwhite,trapos,158,1
ericjankowski,hadoop-patent-examples,172,1
ericjankowski,jmx-tomcat-example,120,1
ericjankowski,shapemaker,116,1
ericjankowski,si-hello-world,132,1
ericjankowski,testing-with-spring,116,1
